date,draftstatement,draftlabel,,,,,,,,,,,,,,,,,,,,,,,
8/9/05,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 3-1/2 percent. The Committee believes that the degree of monetary policy accommodation has been substantially reduced. The expansion remains firm despite high energy prices, and labor market conditions continue to improve gradually. Core inflation has been relatively low in recent months, and longer-term inflation expectations remain well contained. The Committee perceives that, with appropriate monetary policy action, the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal. With underlying inflation expected to be contained, the Committee believes that remaining policy accommodation can be removed at a pace that is likely to be measured. Nonetheless, the Committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability.",A,,,,,,,,,,,,,,,,,,,,,,,
8/9/05,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 3-1/2 percent. The Committee believes that, even after this action, the stance of monetary policy remains accommodative and, coupled with robust underlying growth in productivity, is providing ongoing support to economic activity. Aggregate spending, despite high energy prices, appears to have strengthened since late winter, and labor market conditions continue to improve gradually. Core inflation has been relatively low in recent months and longer-term inflation expectations remain well contained, but pressures on inflation have stayed elevated. The Committee perceives that, with appropriate monetary policy action, the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal. With underlying inflation expected to be contained, the Committee believes that policy accommodation can be removed at a pace that is likely to be measured. Nonetheless, the Committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability.",B,,,,,,,,,,,,,,,,,,,,,,,
8/9/05,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 50 basis points to 3-3/4 percent. The Committee believes that, even after this action, the stance of monetary policy remains accommodative and is providing ongoing support to economic activity. Aggregate spending appears to be expanding briskly despite high energy prices, and labor market conditions continue to improve gradually. Core inflation has been relatively low in recent months and longer-term inflation expectations seem well contained, but pressures on business costs and inflation appear to be increasing.",C,,,,,,,,,,,,,,,,,,,,,,,
9/20/05,"The Federal Open Market Committee decided today to leave its target for the federal funds rate unchanged. The Committee deferred further policy firming in light of the uncertainties surrounding the economic effects of Hurricane Katrina. Output appeared poised to continue growing at a good pace before the tragic toll of the hurricane. The widespread devastation in the Gulf region, the associated dislocation of economic activity, and the boost to energy prices imply that spending, production, and employment will be set back in the near term. Moreover, the disruption to the production and refining infrastructure has elevated premiums for energy products and may add to market volatility. Higher energy and other costs have the potential to add to inflation pressures. However, core inflation has been relatively low in recent months and longer-term inflation expectations remain well contained. The Committee perceives that, with appropriate monetary policy action, the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal. With underlying inflation expected to be contained, the Committee believes that policy accommodation can be removed at a pace that is likely to be measured. Nonetheless, the Committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability.",A,,,,,,,,,,,,,,,,,,,,,,,
9/20/05,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 3 3/4 percent. Output appeared poised to continue growing at a good pace before the tragic toll of Hurricane Katrina. The widespread devastation in the Gulf region, the associated dislocation of economic activity, and the boost to energy prices imply that spending, production, and employment will be set back in the near term. Moreover, the disruption to the production and refining infrastructure has elevated premiums for energy products and may add to market volatility. While these unfortunate developments have increased uncertainty about near-term economic performance, it is the Committee's view that they do not pose a more persistent threat. Rather, remaining monetary policy accommodation, coupled with robust underlying growth in productivity, is providing ongoing support to economic activity. Higher energy and other costs have the potential to add to inflation pressures. However, core inflation has been relatively low in recent months and longer-term inflation expectations remain well contained. The Committee perceives that, with appropriate monetary policy action, the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal. With underlying inflation expected to be contained, the Committee believes that policy accommodation can be removed at a pace that is likely to be measured. Nonetheless, the Committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability.",B,,,,,,,,,,,,,,,,,,,,,,,
11/1/05,"The Federal Open Market Committee decided today to leave its target for the federal funds rate unchanged. Elevated energy prices and hurricane-related disruptions in economic activity seem to have slowed the growth of spending, set back employment, and weakened consumer and business confidence. The persistence of such effects is uncertain, but robust underlying growth of productivity and monetary policy accommodation are providing support to economic activity. High energy and other costs have added to inflation pressures. However, core inflation has been relatively low in recent months, and longer-term inflation expectations remain contained. The Committee perceives that, with appropriate monetary policy action, the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal. With underlying inflation expected to be contained, the Committee believes that remaining policy accommodation can be removed at a pace that is likely to be measured. Nonetheless, the Committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability.",A,,,,,,,,,,,,,,,,,,,,,,,
11/1/05,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 4 percent. Elevated energy prices and hurricane-related disruptions in economic activity seem to have temporarily slowed the growth of spending and set back employment. However, monetary policy accommodation, coupled with robust underlying growth in productivity, is providing ongoing support to economic activity. Spending will also be boosted by rebuilding efforts in hurricane-affected areas. The cumulative rise in energy and other costs has added to inflation pressures. However, core inflation has been relatively low in recent months, and longer-term inflation expectations remain contained. The Committee perceives that, with appropriate monetary policy action, the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal. With underlying inflation expected to be contained, the Committee believes that policy accommodation can be removed at a pace that is likely to be measured. Nonetheless, the Committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability.",B,,,,,,,,,,,,,,,,,,,,,,,
11/1/05,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 4 percent. The disruptive effects of recent hurricanes seem likely to be temporary, especially in light of increased spending associated with rebuilding efforts. Economic growth continues to be supported by robust underlying growth in productivity. Core inflation and longer-term inflation expectations remain contained. However, high energy and other costs have boosted near-term inflation expectations and price pressures, likely making further policy firming necessary.",C,,,,,,,,,,,,,,,,,,,,,,,
12/13/05,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 4 1/4 percent. Despite elevated energy prices and hurricane-related disruptions, the expansion in economic activity appears solid. Core inflation has stayed relatively low in recent months and longer-term inflation expectations remain contained. Nevertheless, possible increases in resource utilization as well as elevated energy prices have the potential to add to inflation pressures. The Committee judges that some further measured policy firming is likely to be needed to keep the risks to both price stability and sustainable economic growth roughly in balance. In any event, the Committee will respond to changes in economic prospects as needed to maintain price stability and foster sustainable economic growth.",B,,,,,,,,,,,,,,,,,,,,,,,
12/13/05,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 4 1/4 percent. Despite elevated energy prices and hurricane-related disruptions, the expansion remains vigorous, supported by monetary policy accommodation and robust underlying growth in productivity. Core inflation has been relatively low in recent months and longer-term inflation expectations remain contained. Nevertheless, relatively high levels of resource utilization as well as elevated energy prices have the potential to add to inflation pressures. The Committee perceives that, with appropriate monetary policy action, the upside and downside risks to the attainment of both sustainable growth and price stability should be kept roughly equal. With underlying inflation expected to be contained, the Committee believes that policy accommodation can be removed at a pace that is likely to be measured. Nonetheless, the Committee will respond to changes in economic prospects as needed to fulfill its obligation to maintain price stability.",C,,,,,,,,,,,,,,,,,,,,,,,
1/31/06,"The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 4 1/4 percent. Smoothing through near-term volatility in spending and production, the expansion in economic activity appears solid. While possible increases in resource utilization as well as elevated energy prices have the potential to add to inflation pressures, core inflation has stayed relatively low in recent months. Moreover, longer-term inflation expectations remain contained. The Committee judges that some further policy firming may well be needed to keep the risks to the attainment of both sustainable economic growth and price stability roughly in balance. In any event, the Committee will respond to changes in economic prospects as needed to foster these objectives.",A,,,,,,,,,,,,,,,,,,,,,,,
1/31/06,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 4 1/2 percent. Smoothing through near-term volatility in spending and production, the expansion in economic activity appears solid. Core inflation has stayed relatively low in recent months and longer-term inflation expectations remain contained. Nevertheless, possible increases in resource utilization as well as elevated energy prices have the potential to add to inflation pressures. The Committee judges that some further policy firming may well be needed to keep the risks to the attainment of both sustainable economic growth and price stability roughly in balance. In any event, the Committee will respond to changes in economic prospects as needed to foster these objectives.",B,,,,,,,,,,,,,,,,,,,,,,,
1/31/06,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 4 1/2 percent. Smoothing through near-term volatility in spending and production, the expansion in economic activity appears solid. While core inflation has stayed relatively low in recent months and longer-term inflation expectations remain contained, increases in resource utilization as well as energy and other cost pressures have the potential to boost underlying inflation. The Committee judges that some further measured policy firming is likely to be needed to keep the risks to the attainment of both sustainable economic growth and price stability roughly in balance. In any event, the Committee will respond to changes in economic prospects as needed to foster these objectives.",C,,,,,,,,,,,,,,,,,,,,,,,
3/28/06,"The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 4 1/2 percent. The slowing of the growth of real GDP in the fourth quarter of 2005 seems largely to have reflected temporary or special factors. Economic growth has rebounded in the current quarter, and the underlying pace of expansion appears to be solid. Resource utilization has risen further this year. Some recent data and anecdotal information suggest that the housing market is moderating, which the Committee believes will contribute to a slowing in economic growth to a more sustainable pace. In addition to increases in resource utilization, the elevated prices of energy and other commodities have the potential to add to inflation pressures going forward. As yet, however, the run-up in those prices has had only a modest effect on core inflation, ongoing productivity gains have held the growth of unit labor costs in check, and inflation expectations remain contained. The Committee judges that maintaining the federal funds rate at its current level will likely keep the risks to the attainment of both sustainable economic growth and price stability roughly in balance. Nevertheless, future policy action will be determined by the evolution of the economic outlook as implied by incoming information.",A,,,,,,,,,,,,,,,,,,,,,,,
3/28/06,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 4 3/4 percent. The slowing of the growth of real GDP in the fourth quarter of 2005 seems largely to have reflected temporary or special factors. Economic growth has rebounded in the current quarter, and the underlying pace of expansion appears to be solid. As yet, the run-up in the prices of energy and other commodities has had only a modest effect on core inflation, ongoing productivity gains have held the growth of unit labor costs in check, and inflation expectations remain contained. Still, increases in resource utilization, in combination with the elevated prices of energy and other commodities, have the potential to add to inflation pressures going forward. The Committee judges that some further policy firming may be needed to keep the risks to the attainment of both sustainable economic growth and price stability roughly in balance. In any event, the Committee will respond to changes in economic prospects as needed to foster these objectives.",B,,,,,,,,,,,,,,,,,,,,,,,
3/28/06,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 4 3/4 percent. Economic growth has rebounded in the current quarter, and the underlying pace of expansion appears to be solid. In addition to increases in resource utilization, the elevated prices of energy and other commodities have the potential to add to inflation pressures going forward. As yet, however, inflation expectations remain contained. The Committee judges that further policy firming may be needed to keep the risks to the attainment of both sustainable economic growth and price stability roughly in balance. In any event, the Committee will respond to changes in economic prospects as needed to foster these objectives.",C,,,,,,,,,,,,,,,,,,,,,,,
5/10/06,"The Federal Open Market Committee decided today to keep its target for the federal funds rate unchanged at 4-3/4 percent. Economic growth rebounded to nearly a 5 percent annual rate in the first quarter. The Committee sees growth as likely to moderate to a sustainable pace, partly reflecting a gradual cooling of the housing market, other lagged responses to previous rate increases, and the effects of energy price increases. As yet, the run-up in the prices of energy and other commodities appears to have had only a modest effect on core inflation, ongoing productivity gains have helped to hold the growth of unit labor costs in check, and inflation expectations remain contained. The Committee expects core inflation to remain well contained. Still, possible increases in resource utilization, in combination with the elevated prices of energy and other commodities, have the potential to add to inflation pressures. Against this backdrop, the Committee preferred to await additional information about economic developments before taking any further action. The Committee sees the risks to its price stability objective as slightly to the upside and judges it more likely that its next policy action will be a tightening rather than an easing. In any event, the Committee will respond to changes in the economic outlook, as implied by incoming information, as needed to foster its objectives of sustainable economic growth and price stability.",A,,,,,,,,,,,,,,,,,,,,,,,
5/10/06,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 5 percent. Economic growth rebounded to nearly a 5 percent annual rate in the first quarter. The Committee sees growth as likely to moderate toward a more sustainable pace, partly reflecting a gradual cooling of the housing market, other lagged responses to previous rate increases, and the effects of energy price increases. As yet, the run-up in the prices of energy and other commodities appears to have had only a modest effect on core inflation, and ongoing productivity gains have helped to hold the growth of unit labor costs in check. The Committee expects core inflation to remain contained. However, the recent climb in energy and other commodity prices, an apparent slight rise in inflation expectations, and possible increases in resource utilization have the potential to add to inflation pressures. To keep the risks to the attainment of both sustainable economic growth and price stability roughly in balance, some further policy firming may be needed. The Committee judges that any additional firming is likely to be modest. However, the extent and timing of any such firming will depend importantly on the evolution of the economic outlook as implied by incoming information. In any event, the Committee will respond to changes in economic prospects as needed to support the attainment of its objectives.",B,,,,,,,,,,,,,,,,,,,,,,,
5/10/06,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 50 basis points to 5-1/4 percent. Economic growth rebounded to nearly a 5 percent annual rate in the first quarter. The Committee sees growth as likely to moderate somewhat in coming quarters, though data confirming a slowing in growth have been sparse. As yet, the run-up in the prices of energy and other commodities appears to have had only a modest effect on core inflation, and ongoing productivity gains have helped to hold the growth of unit labor costs in check. However, the recent climb in energy and other commodity prices, an apparent rise in inflation expectations, and possible increases in resource utilization have the potential to add to inflation pressures. The Committee judges that, with this action, the risks to the attainment of both sustainable economic growth and price stability are roughly in balance. In any event, the Committee will respond to changes in economic prospects as needed to foster these objectives.",C,,,,,,,,,,,,,,,,,,,,,,,
6/29/06,"The Federal Open Market Committee decided today to leave its target for the federal funds rate unchanged at 5 percent. Recent indicators suggest that economic growth is moderating considerably from its quite strong pace earlier this year. The Committee views the pickup in core inflation this spring as unwelcome but likely to be transitory. Ongoing productivity gains, anchored inflation expectations, and moderate economic growth should reduce inflation in coming quarters. The Committee judges that the risks to the attainment of price stability remain tilted to the upside but recognizes that the moderation in the growth of aggregate demand, along with other forces, should work to contain inflation going forward. While the Committee judges that some further policy firming may yet be needed to address inflation risks, considerable uncertainty attends the outlook, making it prudent to await the accumulation of additional information.",A,,,,,,,,,,,,,,,,,,,,,,,
6/29/06,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 5 1/4 percent. Recent indicators suggest that economic growth is moderating from its quite strong pace earlier this year. Readings on core inflation have been elevated in recent months. Ongoing productivity gains have held down the rise in unit labor costs, and inflation expectations remain contained. However, the high levels of resource utilization and of the prices of energy and other commodities have the potential to sustain inflation pressures. Although the moderation in the growth of aggregate demand should help to contain inflation pressures, the Committee judges that the risks to the attainment of price stability remain tilted to the upside. The extent and timing of any further policy action will depend importantly on the evolution of the economic outlook as implied by incoming information. In any event, the Committee will respond to changes in economic prospects as needed to support the attainment of sustainable economic growth and price stability.",B,,,,,,,,,,,,,,,,,,,,,,,
6/29/06,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 50 basis points to 5 1/2 percent. Recent indicators suggest that economic growth is moderating from its quite strong pace earlier this year, but the level of resource utilization remains relatively high. Ongoing productivity gains and contained inflation expectations should restrain inflation going forward. However, recent readings on core inflation have been elevated, which the Committee views as unwelcome. In order to foster price stability and sustainable economic growth, the Committee seeks a medium-term decline in core inflation from its recent elevated levels. The Committee judges that some further policy firming may yet be needed to accomplish this outcome. The extent and timing of any such firming will depend importantly on the evolution of the economic outlook as implied by incoming information.",C,,,,,,,,,,,,,,,,,,,,,,,
8/8/06,"The Federal Open Market Committee decided today to keep its target for the federal funds rate at 5 1/4 percent. Economic growth has moderated from its quite strong pace earlier this year, partly reflecting a gradual cooling of the housing market and the lagged effects of increases in interest rates and energy prices. Readings on core inflation have been elevated in recent months, owing in part to pass-through of increased energy and other commodity prices. However, inflation pressures seem likely to moderate over time, reflecting the cumulative effects of monetary policy actions and other factors restraining aggregate demand, ongoing productivity gains, and contained inflation expectations. In these circumstances, future policy adjustments will depend on the evolution of the outlook for both inflation and economic growth, as implied by incoming information.",A,,,,,,,,,,,,,,,,,,,,,,,
8/8/06,"The Federal Open Market Committee decided today to keep its target for the federal funds rate at 5 1/4 percent. Economic growth has moderated from its quite strong pace earlier this year, partly reflecting a gradual cooling of the housing market and the lagged effects of increases in interest rates and energy prices. Readings on core inflation have been elevated in recent months, owing in part to the pass-through of increased energy and other commodity prices. However, inflation pressures seem likely to moderate over time, reflecting contained inflation expectations and the cumulative effects of monetary policy actions and other factors restraining aggregate demand. Although the Committee expects inflation pressures to diminish gradually, it judges that some inflation risks remain. The extent and timing of any additional firming that may be needed to address these risks will depend on the evolution of the outlook for both inflation and economic growth, as implied by incoming information.",B,,,,,,,,,,,,,,,,,,,,,,,
8/8/06,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 5 1/2 percent. Economic growth has moderated from its quite strong pace earlier this year, partly reflecting a gradual cooling of the housing market and the lagged effects of increases in interest rates and energy prices. Readings on core inflation have been elevated in recent months, and the high levels of resource utilization and of the prices of energy and other commodities have the potential to sustain inflation pressures. However, inflation pressures seem likely to moderate over time, reflecting contained inflation expectations and the cumulative effects of monetary policy actions and other factors restraining aggregate demand. In these circumstances, future policy adjustments will depend on the evolution of the outlook for both inflation and economic growth, as implied by incoming information.",C,,,,,,,,,,,,,,,,,,,,,,,
8/8/06,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 5 1/2 percent. Economic growth has moderated from its quite strong pace earlier this year, partly reflecting a gradual cooling of the housing market and the lagged effects of increases in interest rates and energy prices. Readings on core inflation have been elevated in recent months. The moderation in the growth of aggregate demand and anchored inflation expectations should help to contain inflation in coming quarters. However, the high levels of resource utilization and of the prices of energy and other commodities have the potential to sustain inflation pressures. The extent and timing of any additional firming that may be needed to foster a moderation in inflation pressures will depend on the evolution of the outlook for both inflation and economic growth, as implied by incoming information.",D,,,,,,,,,,,,,,,,,,,,,,,
9/20/06,"The Federal Open Market Committee decided today to keep its target for the federal funds rate at 5 1/4 percent. The moderation in economic growth appears to be continuing, in part reflecting a cooling of the housing market. Although core inflation remains elevated, recent readings have been slightly more favorable. While some inflation pressures persist, they seem likely to moderate over time, reflecting reduced impetus from energy prices, contained inflation expectations, and the cumulative effects of monetary policy actions and other factors restraining aggregate demand. In recent weeks, the upside risks to inflation appear to have diminished somewhat and downside risks to growth have become more significant. In these circumstances, future policy adjustments will depend on the evolution of the outlook for both inflation and economic growth, as implied by incoming information.",A,,,,,,,,,,,,,,,,,,,,,,,
9/20/06,"The Federal Open Market Committee decided today to keep its target for the federal funds rate at 5 1/4 percent. The moderation in economic growth appears to be continuing, in part reflecting a cooling of the housing market. Readings on core inflation have been elevated on balance, and the high levels of resource utilization and of the prices of energy and other commodities have the potential to sustain inflation pressures. However, inflation pressures seem likely to moderate over time, reflecting reduced impetus from energy prices, contained inflation expectations, and the cumulative effects of monetary policy actions and other factors restraining aggregate demand. Nonetheless, the Committee judges that some inflation risks remain. The extent and timing of any additional firming that may be needed to address these risks will depend on the evolution of the outlook for both inflation and economic growth, as implied by incoming information.",B,,,,,,,,,,,,,,,,,,,,,,,
9/20/06,"The Federal Open Market Committee decided today to raise its target for the federal funds rate by 25 basis points to 5 1/2 percent. Economic growth has moderated from its quite strong pace earlier this year, partly reflecting a cooling of the housing market. Readings on core inflation have been elevated on balance, and the high levels of resource utilization and of the prices of energy and other commodities have the potential to sustain inflation pressures. In these circumstances, the Committee believed that an additional firming of policy was appropriate to foster a decline in inflation. Nonetheless, the Committee judges that some inflation risks remain. The extent and timing of any additional firming that may be needed to address these risks will depend on the evolution of the outlook for both inflation and economic growth, as implied by incoming information.",C,,,,,,,,,,,,,,,,,,,,,,,
10/25/06,"The Federal Open Market Committee decided today to keep its target for the federal funds rate at 5 1/4 percent. Economic growth appears to have slowed further in the third quarter, partly reflecting a cooling of the housing market. Although there is a risk that the slowdown in economic growth may become more pronounced, the economy seems likely to expand at a moderate pace. Readings on core inflation have been elevated, and the high level of resource utilization has the potential to sustain inflation pressures. However, inflation pressures seem likely to moderate over time, reflecting reduced impetus from energy prices, contained inflation expectations, and the cumulative effects of monetary policy actions and other factors restraining aggregate demand. In these circumstances, future policy adjustments will depend on the evolution of the outlook for both inflation and economic growth, as implied by incoming information.",A,,,,,,,,,,,,,,,,,,,,,,,
